buildingRoute,BMSPointName,Master,Controller,PointName,System,System display name,Description,Units,Sample
Rudin345Park\\BCXCellar\\InteriorFanS_14,ReturnCO2.F18,BCXCellar,InteriorFanS_14,F18-ReturnCO2,S14,,Return CO2 Level,PPM,740.3
Rudin345Park\\BCXCellar\\InteriorFanS_15,ReturnCO2.F19,BCXCellar,InteriorFanS_15,F19-ReturnCO2,S15,,Return CO2 Level,PPM,584.3
Rudin345Park\\BCX34th\\InteriorFanS_3,ReturnCO2.F2,BCX34th,InteriorFanS_3,F2-ReturnCO2,S3,,Return CO2 Level,PPM,609.6
Rudin345Park\\BCXCellar\\InteriorFanS_16,ReturnCO2.F20,BCXCellar,InteriorFanS_16,F20-ReturnCO2,S16,,Return CO2 Level,PPM,685
Rudin345Park\\BCXCellar\\InteriorFanS_17,ReturnCO2.F21,BCXCellar,InteriorFanS_17,F21-ReturnCO2,S25,,Return CO2 Level,PPM,661.1
Rudin345Park\\BCXCellar\\InteriorFanS_18,ReturnCO2.F22,BCXCellar,InteriorFanS_18,F22-ReturnCO2,S18,,Return CO2 Level,PPM,701.2
Rudin345Park\\BCXCellar\\InteriorFanS_19,ReturnCo2.F23,BCXCellar,InteriorFanS_19,F23-ReturnCO2,S19,,Return CO2 Level,PPM,659.6
Rudin345Park\\BCXCellar\\InteriorFanS_20,ReturnCO2.F24,BCXCellar,InteriorFanS_20,F24-ReturnCO2,S20,,Return CO2 Level,PPM,717.9
Rudin345Park\\BCXCellar\\InteriorFanS_21,ReturnCO2.F25,BCXCellar,InteriorFanS_21,F25-ReturnCO2,S21,,Return CO2 Level,PPM,712.7
Rudin345Park\\BCXCellar\\InteriorFanS_22,ReturnCO2.F26,BCXCellar,InteriorFanS_22,F26-ReturnCO2,S22,,Return CO2 Level,PPM,675.7
Rudin345Park\\BCX34th\\InteriorFanS_5,ReturnCO2.F3,BCX34th,InteriorFanS_5,F3-ReturnCO2,S5,,Return CO2 Level,PPM,667
Rudin345Park\\BCX34th\\InteriorFanS_6.2,ReturnCO2.F4,BCX34th,InteriorFanS_6.2,F4-ReturnCO2,S6,,Return CO2 Level,PPM,710
Rudin345Park\\BCX9th\\InteriorFanS_10,ReturnCO2.F9,BCX9th,InteriorFanS_10,F9-ReturnCO2,S10,,Return CO2 Level,PPM,626.4
Rudin345Park\\BCX9th\\InteriorFanS_10,ReturnTemp,BCX9th,InteriorFanS_10,S10-ReturnAirTemp,S10,,Return Air Temperature,Fahrenheit,74.5
Rudin345Park\\BCX34th\\PrimaryFanS_1.1,ReturnTemp,BCX34th,PrimaryFanS_1.1,S1-ReturnAirTemp,S1,,Return Air Temperature,Fahrenheit,73.5
Rudin345Park\\BCX34th\\InteriorFanS_5,ReturnTemp,BCX34th,InteriorFanS_5,S5-ReturnAirTemp,S5,,Return Air Temperature,Fahrenheit,74.7
Rudin345Park\\BCX34th\\PrimaryFanS_2.1,ReturnTemp,BCX34th,PrimaryFanS_2.1,S2-ReturnAirTemp,S2,,Return Air Temperature,Fahrenheit,83.7
Rudin345Park\\BCX34th\\InteriorFanS_3,ReturnTemp,BCX34th,InteriorFanS_3,S3-ReturnAirTemp,S3,,Return Air Temperature,Fahrenheit,73.3
Rudin345Park\\BCX34th\\InteriorFanS_4.1,ReturnTemp,BCX34th,InteriorFanS_4.1,S4-ReturnAirTemp,S4,,Return Air Temperature,Fahrenheit,73.4
Rudin345Park\\BCX34th\\InteriorFanS_6.1,ReturnTemp,BCX34th,InteriorFanS_6.1,S6-ReturnAirTemp,S6,,Return Air Temperature,Fahrenheit,75.4
Rudin345Park\\BCXCellar\\InteriorFanS_22,ReturnTemp,BCXCellar,InteriorFanS_22,S22-ReturnAirTemp,S22,,Return Air Temperature,Fahrenheit,74.9
Rudin345Park\\BCXCellar\\InteriorFanS_21,ReturnTemp,BCXCellar,InteriorFanS_21,S21-ReturnAirTemp,S21,,Return Air Temperature,Fahrenheit,75.6
Rudin345Park\\BCXCellar\\InteriorFanS_20,ReturnTemp,BCXCellar,InteriorFanS_20,S20-ReturnAirTemp,S20,,Return Air Temperature,Fahrenheit,76.2
Rudin345Park\\BCXCellar\\InteriorFanS_19,ReturnTemp,BCXCellar,InteriorFanS_19,S19-ReturnAirTemp,S19,,Return Air Temperature,Fahrenheit,77.3
Rudin345Park\\BCXCellar\\InteriorFanS_18,ReturnTemp,BCXCellar,InteriorFanS_18,S18-ReturnAirTemp,S18,,Return Air Temperature,Fahrenheit,74
Rudin345Park\\BCXCellar\\InteriorFanS_17,ReturnTemp,BCXCellar,InteriorFanS_17,S17-ReturnAirTemp,S17,,Return Air Temperature,Fahrenheit,74.7
Rudin345Park\\BCXCellar\\InteriorFanS_16,ReturnTemp,BCXCellar,InteriorFanS_16,S16-ReturnAirTemp,S16,,Return Air Temperature,Fahrenheit,74.1
Rudin345Park\\BCXCellar\\InteriorFanS_15,ReturnTemp,BCXCellar,InteriorFanS_15,S15-ReturnAirTemp,S15,,Return Air Temperature,Fahrenheit,76.1
Rudin345Park\\BCXCellar\\InteriorFanS_14,ReturnTemp,BCXCellar,InteriorFanS_14,S14-ReturnAirTemp,S14,,Return Air Temperature,Fahrenheit,78.4
Rudin345Park\\BCXCellar\\InteriorFanS_13,ReturnTemp,BCXCellar,InteriorFanS_13,S13-ReturnAirTemp,S13,,Return Air Temperature,Fahrenheit,77.3
Rudin345Park\\BCX9th\\InteriorFanS_11,ReturnTemp,BCX9th,InteriorFanS_11,S11-ReturnAirTemp,S11,,Return Air Temperature,Fahrenheit,74.9
Rudin345Park\\BCX9th\\InteriorFanS_12,ReturnTemp,BCX9th,InteriorFanS_12,S12-ReturnAirTemp,S12,,Return Air Temperature,Fahrenheit,74.1
Rudin345Park\\BCX9th\\InteriorFanS_9,ReturnTemp,BCX9th,InteriorFanS_9,S9-ReturnAirTemp,S9,,Return Air Temperature,Fahrenheit,74.7
Rudin345Park\\BCX9th\\PrimaryFanS_7.1,ReturnTemp,BCX9th,PrimaryFanS_7.1,S7-ReturnAirTemp,S7,,Return Air Temperature,Fahrenheit,75.3
Rudin345Park\\BCX9th\\PrimaryFanS_8.1,ReturnTemp,BCX9th,PrimaryFanS_8.1,S8-ReturnAirTemp,S8,,Return Air Temperature,Fahrenheit,85.6
Rudin345Park\\BCX9th\\SESecWater9th,SEReturnTemp,BCX9th,SESecWater9th,SWaterReturnTemp9,9SE2WS,,Return Water Temperature SE Water System 9th Floor,Fahrenheit,58.2
Rudin345Park\\BCX34th\\SESecondaryWater,SEReturnTemp,BCX34th,SESecondaryWater,SWaterReturnTemp34,34SE2WS,,Return Water Temperature SE Water System 34th Floor,Fahrenheit,58.1
Rudin345Park\\BCX34th\\SESecondaryWater,SESupplyTemp,BCX34th,SESecondaryWater,SWaterSupplyTemp34,34SE2WS,,Supply Water Temperature SE Water System 34th Floor,Fahrenheit,56.3
Rudin345Park\\BCX9th\\SESecWater9th,SESupplyTemp,BCX9th,SESecWater9th,SWaterSupplyTemp9,9SE2WS,,Supply Water Temperature SE Water System 9th Floor,Fahrenheit,56.3
