buildingRoute,BMSPointName,Master,Controller,PointName,System,System display name,Description,Units,Sample
Rudin345Park\\BCXCellar\\InteriorFanS_22,SupplySpeed.S22,BCXCellar,InteriorFanS_22,S22-SupplySpeed,S22,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_3,SupplySpeed.S3,BCX34th,InteriorFanS_3,S3-SupplySpeed,S3,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_4.1,SupplySpeed.S4,BCX34th,InteriorFanS_4.1,S4-SupplySpeed,S4,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_5,SupplySpeed.S5,BCX34th,InteriorFanS_5,S5-SupplySpeed,S5,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\InteriorFanS_6.1,SupplySpeed.S6,BCX34th,InteriorFanS_6.1,S6-SupplySpeed,S6,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX9th\\PrimaryFanS_7.1,SupplySpeed.S7,BCX9th,PrimaryFanS_7.1,S7-SupplySpeed,S7,,Supply Fan Speed Command,%,82.00%
Rudin345Park\\BCX9th\\PrimaryFanS_8.1,SupplySpeed.S8,BCX9th,PrimaryFanS_8.1,S8-SupplySpeed,S8,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX9th\\InteriorFanS_9,SupplySpeed.S9,BCX9th,InteriorFanS_9,S9-SupplySpeed,S9,,Supply Fan Speed Command,%,100.00%
Rudin345Park\\BCX34th\\PrimaryFanS_2.1,CO2Mode,BCX34th,PrimaryFanS_2.1,S1-CO2Mode,S1,,CO2 Mode for Unit S1,None,Off
Rudin345Park\\BCX34th\\InteriorFanS_5,CO2Mode,BCX34th,InteriorFanS_5,S10-CO2Mode,S10,,CO2 Mode for Unit S10,None,Off
Rudin345Park\\BCX34th\\InteriorFanS_4.1,CO2Mode,BCX34th,InteriorFanS_4.1,S11-CO2Mode,S11,,CO2 Mode for Unit S11,None,Off
Rudin345Park\\BCX34th\\InteriorFanS_3,CO2Mode,BCX34th,InteriorFanS_3,S12-CO2Mode,S12,,CO2 Mode for Unit S12,None,Off
Rudin345Park\\BCX34th\\InteriorFanS_6.1,CO2Mode,BCX34th,InteriorFanS_6.1,S13-CO2Mode,S13,,CO2 Mode for Unit S13,None,Off
Rudin345Park\\BCX34th\\PrimaryFanS_1.1,CO2Mode,BCX34th,PrimaryFanS_1.1,S14-CO2Mode,S14,,CO2 Mode for Unit S14,None,Off
Rudin345Park\\BCX9th\\InteriorFanS_10,CO2Mode,BCX9th,InteriorFanS_10,S15-CO2Mode,S15,,CO2 Mode for Unit S15,None,Off
Rudin345Park\\BCX9th\\InteriorFanS_11,CO2Mode,BCX9th,InteriorFanS_11,S16-CO2Mode,S16,,CO2 Mode for Unit S16,None,Off
Rudin345Park\\BCX9th\\InteriorFanS_12,CO2Mode,BCX9th,InteriorFanS_12,S17-CO2Mode,S17,,CO2 Mode for Unit S17,None,Off
Rudin345Park\\BCX9th\\InteriorFanS_9,CO2Mode,BCX9th,InteriorFanS_9,S18-CO2Mode,S18,,CO2 Mode for Unit S18,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_13,CO2Mode,BCXCellar,InteriorFanS_13,S19-CO2Mode,S19,,CO2 Mode for Unit S19,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_14,CO2Mode,BCXCellar,InteriorFanS_14,S2-CO2Mode,S2,,CO2 Mode for Unit S2,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_15,CO2Mode,BCXCellar,InteriorFanS_15,S20-CO2Mode,S20,,CO2 Mode for Unit S20,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_16,CO2Mode,BCXCellar,InteriorFanS_16,S21-CO2Mode,S21,,CO2 Mode for Unit S21,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_17,CO2Mode,BCXCellar,InteriorFanS_17,S22-CO2Mode,S22,,CO2 Mode for Unit S22,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_18,CO2Mode,BCXCellar,InteriorFanS_18,S3-CO2Mode,S3,,CO2 Mode for Unit S3,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_19,CO2Mode,BCXCellar,InteriorFanS_19,S4-CO2Mode,S4,,CO2 Mode for Unit S4,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_20,CO2Mode,BCXCellar,InteriorFanS_20,S5-CO2Mode,S5,,CO2 Mode for Unit S5,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_21,CO2Mode,BCXCellar,InteriorFanS_21,S6-CO2Mode,S6,,CO2 Mode for Unit S6,None,Off
Rudin345Park\\BCXCellar\\InteriorFanS_22,CO2Mode,BCXCellar,InteriorFanS_22,S9-CO2Mode,S9,,CO2 Mode for Unit S9,None,Off
Rudin345Park\\BCXCellar\\ElectricMeters,ElecM1.Demand,BCXCellar,ElectricMeters,Elec-M1Total,Elec,,Electric Meter 1 Demand ,KW,1096
Rudin345Park\\BCXCellar\\ElectricMeters,ElecM2.Demand,BCXCellar,ElectricMeters,Elec-M2Total,Elec,,Electric Meter 2 Demand ,KW,1196
Rudin345Park\\BCXCellar\\ElectricMeters,ElecM3.Demand,BCXCellar,ElectricMeters,Elec-M3Total,Elec,,Electric Meter 3 Demand ,KW,1068
Rudin345Park\\BCXCellar\\ElectricMeters,ElecM4.Demand,BCXCellar,ElectricMeters,Elec-M4Total,Elec,,Electric Meter 4 Demand ,KW,1472
Rudin345Park\\BCXCellar\\ElectricMeters,ElecM5.Demand,BCXCellar,ElectricMeters,Elec-M5Total,Elec,,Electric Meter 5 Demand ,KW,1068
Rudin345Park\\BCXCellar\\ElectricMeters,ElecM6.Demand,BCXCellar,ElectricMeters,Elec-M6Total,Elec,,Electric Meter 6 Demand ,KW,660
Rudin345Park\\BCX9thModbus,F10_FanFdbck,BCX9thModbus,,F10-FanFdbck,S9,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX9thModbus,F11_FanFdbck,BCX9thModbus,,F11-FanFdbck,S8,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCX9thModbus,F12_FanFdbck,BCX9thModbus,,F12-FanFdbck,S7,,Fan VFD Speed Feedback,Hz,55.3
Rudin345Park\\BCXCellar,F17_FanFdbck,BCXCellar,,F17-FanFdbck,S13,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCXCellar,F18_FanFdbck,BCXCellar,,F18-FanFdbck,S14,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,F19_FanFdbck,BCXCellar,,F19-FanFdbck,S15,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCX34th,F1_FanFdbck,BCX34th,,F1-FanFdbck,S4,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCXCellar,F20_FanFdbck,BCXCellar,,F20-FanFdbck,S16,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,F21_FanFdbck,BCXCellar,,F21-FanFdbck,S17,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCXCellar,F22_FanFdbck,BCXCellar,,F22-FanFdbck,S18,,Fan VFD Speed Feedback,Hz,56.3
Rudin345Park\\BCXCellar,F23_FanFdbck,BCXCellar,,F23-FanFdbck,S19,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,F24_FanFdbck,BCXCellar,,F24-FanFdbck,S20,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCXCellar,F26_FanFdbck,BCXCellar,,F26-FanFdbck,S22,,Fan VFD Speed Feedback,Hz,51.4
Rudin345Park\\BCX34th,F2_FanFdbck,BCX34th,,F2-FanFdbck,S3,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX34th,F3_FanFdbck,BCX34th,,F3-FanFdbck,S5,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCX34th,F4_FanFdbck,BCX34th,,F4-FanFdbck,S6,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX9thModbus,F9_FanFdbck,BCX9thModbus,,F9-FanFdbck,S10,,Fan VFD Speed Feedback,Hz,0
Rudin345Park\\BCXCellar\\PerimeterHeating,HWSupplyStptCalc,BCXCellar,PerimeterHeating,HWSupplyStpt,CWPerRH,,HW Supply Setpoint C Level Perimeter,Fahrenheit,125
Rudin345Park\\BCXCellar\\InteriorReheatC,HWSupplyStptCalc,BCXCellar,InteriorReheatC,HWSupplyStpt,CWIntRH,,HW Supply Setpoint C Level Interior,Fahrenheit,120
Rudin345Park\\BCX9th\\InteriorReheat9,HWSupplyStptCalc,BCX9th,InteriorReheat9,HWSupplyStpt,9WIntRH,,HW Supply Setpoint 9th Fl Interior,Fahrenheit,120
Rudin345Park\\BCX34th\\InteriorReheat34,HWSupplyStptCalc,BCX34th,InteriorReheat34,HWSupplyStpt,34WIntRH,,HW Supply Setpoint 34th Fl Interior,Fahrenheit,120
Rudin345Park\\BCX34th\\MainCoolingTower,LowLevelMCT1,BCX34th,MainCoolingTower,MCT1-LowLevelAlarm,MCW,Main Chilled Water,Low Level Alarm Main Cooling Tower 1,None,Off
Rudin345Park\\BCX34th\\MainCoolingTower,LowLevelMCT2,BCX34th,MainCoolingTower,MCT2-LowLevelAlarm,MCW,Main Chilled Water,Low Level Alarm Main Cooling Tower 2,None,Off
Rudin345Park\\BCX34th\\MainCoolingTower,LowLevelMCT3,BCX34th,MainCoolingTower,MCT3-LowLevelAlarm,MCW,Main Chilled Water,Low Level Alarm Main Cooling Tower 3,None,Off
Rudin345Park\\BCX34th\\MainCoolingTower,LowLevelMCT4,BCX34th,MainCoolingTower,MCT4-LowLevelAlarm,MCW,Main Chilled Water,Low Level Alarm Main Cooling Tower 4,None,Off
Rudin345Park\\BCX34th\\MainCoolingTower,LowLevelStpt,BCX34th,MainCoolingTower,MCT-LowLevelStpt,MCW,Main Chilled Water,Low Level Setpoint Main Cooling Tower,None,4
Rudin345Park\\BCX34th\\MainCoolingTower,MCT.HighTemp,BCX34th,MainCoolingTower,MCT-HighTemp,MCW,Main Chilled Water,Main Cooling Tower High CW Temp,None,Off
Rudin345Park\\BCX34th\\NWSecWater,NWSupplyStptCalc,BCX34th,NWSecWater,SupplyWaterTempStpt,9NW2WS,,NW Secondary Water Supply Stpt 9th Floor,Fahrenheit,56
Rudin345Park\\BCX9th\\NWSecWater9th,NWSupplyStptCalc,BCX9th,NWSecWater9th,SupplyWaterTempStpt,34NW2WS,,NW Secondary Water Supply Stpt 34th Floor,Fahrenheit,56
Rudin345Park\\BCX34th,OAH_Avg,BCX34th,,Humidity-Avg,OA,,Outdoor Air Humidity Average,%RH,44.20%
Rudin345Park\\BCX34th,OAT_Avg,BCX34th,,Temperature-Avg,OA,,Outdoor Air Temp Average,Fahrenheit,83.4
Rudin345Park\\BCX34th,OA_CO2_Avg,BCX34th,,C02-Avg,OA,,Outdoor Air CO2 Average,PPM,532.9
Rudin345Park\\BCX34th\\InteriorReheat34,PumpFail.12,BCX34th,InteriorReheat34,P12-PumpFail,34WIntRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\InteriorReheat34,PumpFail.13,BCX34th,InteriorReheat34,P13-PumpFail,34WIntRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX9th\\InteriorReheat9,PumpFail.19,BCX9th,InteriorReheat9,P19-PumpFail,9WintRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX9th\\InteriorReheat9,PumpFail.20,BCX9th,InteriorReheat9,P20-PumpFail,9WIntRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCXCellar\\InteriorReheatC,PumpFail.23,BCXCellar,InteriorReheatC,P23-PumpFail,CWIntRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCXCellar\\InteriorReheatC,PumpFail.24,BCXCellar,InteriorReheatC,P24-PumpFail,CWIntRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCXCellar\\PerimeterHeating,PumpFail.25,BCXCellar,PerimeterHeating,P25-PumpFail,CWPerRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCXCellar\\PerimeterHeating,PumpFail.26,BCXCellar,PerimeterHeating,P26-PumpFail,CWPerRH,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MainChilledWater,PumpFail.CHWP,BCX34th,MainChilledWater,PCHWPPumpFail,MCW,Main Chilled Water,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpFail.CWP,BCX34th,MCC_34th_CWPumps,PCWPPumpFail,Misc,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpFail.P1,BCX34th,MCC_34th_CWPumps,P1-PumpFail,Misc,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\SESecondaryWater,PumpFail.P10,BCX34th,SESecondaryWater,P10-PumpFail,Misc,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\NWSecWater,PumpFail.P11,BCX34th,NWSecWater,P11-PumpFail,34NW2WS,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX9th\\SESecWater9th,PumpFail.P16,BCX9th,SESecWater9th,P16-PumpFail,9SE2WS,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX9th\\NWSecWater9th,PumpFail.P17,BCX9th,NWSecWater9th,P17-PumpFail,Misc,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX9th\\NWSecWater9th,PumpFail.P18,BCX9th,NWSecWater9th,P18-PumpFail,9NW2WS,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpFail.P2,BCX34th,MCC_34th_CWPumps,P2-PumpFail,MCW,Main Chilled Water,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpFail.P3,BCX34th,MCC_34th_CWPumps,P3-PumpFail,MCW,Main Chilled Water,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT1,PumpFail.P33,BCX34th,TenantCT1,P33-PumpFail,TCT1,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT1,PumpFail.P34,BCX34th,TenantCT1,P34-PumpFail,TCT1,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT1,PumpFail.P35,BCX34th,TenantCT1,P35-PumpFail,TCT1,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT1,PumpFail.P36,BCX34th,TenantCT1,P36-PumpFail,TCT1,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT1,PumpFail.P37,BCX34th,TenantCT1,P37-PumpFail,TCT1,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT2,PumpFail.P38,BCX34th,TenantCT2,P38-PumpFail,TCT2,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT2,PumpFail.P39,BCX34th,TenantCT2,P39-PumpFail,TCT2,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MCC_34th_CWPumps,PumpFail.P4,BCX34th,MCC_34th_CWPumps,P4-PumpFail,MCW,Main Chilled Water,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT2,PumpFail.P40,BCX34th,TenantCT2,P40-PumpFail,TCT2,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MainChilledWater,PumpFail.P5,BCX34th,MainChilledWater,P5-PumpFail,MCW,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MainChilledWater,PumpFail.P6,BCX34th,MainChilledWater,P6-PumpFail,MCW,Main Chilled Water,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MainChilledWater,PumpFail.P7,BCX34th,MainChilledWater,P7-PumpFail,MCW,Main Chilled Water,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\MainChilledWater,PumpFail.P8,BCX34th,MainChilledWater,P8-PumpFail,MCW,Main Chilled Water,Pump Failure Alarm,None,Off
Rudin345Park\\BCX34th\\SESecondaryWater,PumpFail.P9,BCX34th,SESecondaryWater,P9-PumpFail,34SE2WS,,Pump Failure Alarm,None,Off
Rudin345Park\\BCX9th\\PrimaryFanS_7.2,RHCStptEast,BCX9th,PrimaryFanS_7.2,S7-ReHeatStpt^E,S7,,Reheat Setpoint East S7,Fahrenheit,45
Rudin345Park\\BCX34th\\PrimaryFanS_1.2,RHCStptEast,BCX34th,PrimaryFanS_1.2,S1-ReHeatStpt^E,S1,,Reheat Setpoint East S8,Fahrenheit,45
Rudin345Park\\BCX34th\\PrimaryFanS_2.2,RHCStptNorth,BCX34th,PrimaryFanS_2.2,S2-ReHeatStpt^N,S2,,Reheat Setpoint East S9,Fahrenheit,45
Rudin345Park\\BCX9th\\PrimaryFanS_8.2,RHCStptNorth,BCX9th,PrimaryFanS_8.2,S8-ReHeatStpt^N,S8,,Reheat Setpoint East S10,Fahrenheit,45
Rudin345Park\\BCX9th\\PrimaryFanS_7.2,RHCStptSouth,BCX9th,PrimaryFanS_7.2,S7-ReHeatStpt^S,S7,,Reheat Setpoint East S11,Fahrenheit,45
Rudin345Park\\BCX34th\\PrimaryFanS_1.2,RHCStptSouth,BCX34th,PrimaryFanS_1.2,S1-ReHeatStpt^S,S1,,Reheat Setpoint East S12,Fahrenheit,45
Rudin345Park\\BCX34th\\PrimaryFanS_2.2,RHCStptWest,BCX34th,PrimaryFanS_2.2,S2-ReHeatStpt^W,S2,,Reheat Setpoint East S13,Fahrenheit,45
Rudin345Park\\BCX9th\\PrimaryFanS_8.2,RHCStptWest,BCX9th,PrimaryFanS_8.2,S8-ReHeatStpt^W,S8,,Reheat Setpoint East S14,Fahrenheit,45
Rudin345Park\\BCX9thModbus,S10_FanFdbck,BCX9thModbus,,S10-FanFdbck,S10,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX9thModbus,S11_FanFdbck,BCX9thModbus,,S11-FanFdbck,S11,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX9thModbus,S12_FanFdbck,BCX9thModbus,,S12-FanFdbck,S12,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,S13_FanFdbck,BCXCellar,,S13-FanFdbck,S13,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,S14_FanFdbck,BCXCellar,,S14-FanFdbck,S14,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,S15_FanFdbck,BCXCellar,,S15-FanFdbck,S15,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,S16_FanFdbck,BCXCellar,,S16-FanFdbck,S16,,Fan VFD Speed Feedback,Hz,55.4
Rudin345Park\\BCXCellar,S17_FanFdbck,BCXCellar,,S17-FanFdbck,S17,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,S18_FanFdbck,BCXCellar,,S18-FanFdbck,S18,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,S19_FanFdbck,BCXCellar,,S19-FanFdbck,S19,,Fan VFD Speed Feedback,Hz,57
Rudin345Park\\BCX34th,S1_FanFdbck,BCX34th,,S1-FanFdbck,S1,,Fan VFD Speed Feedback,Hz,47.5
Rudin345Park\\BCXCellar,S20_FanFdbck,BCXCellar,,S20-FanFdbck,S20,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCXCellar,S22_FanFdbck,BCXCellar,,S22-FanFdbck,S22,,Fan VFD Speed Feedback,Hz,54
Rudin345Park\\BCX34th,S2_FanFdbck,BCX34th,,S2-FanFdbck,S2,,Fan VFD Speed Feedback,Hz,51.1
Rudin345Park\\BCX34th,S3_FanFdbck,BCX34th,,S3-FanFdbck,S3,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX34th,S4_FanFdbck,BCX34th,,S4-FanFdbck,S4,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX34th,S5_FanFdbck,BCX34th,,S5-FanFdbck,S5,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX34th,S6_FanFdbck,BCX34th,,S6-FanFdbck,S6,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX9thModbus,S7_FanFdbck,BCX9thModbus,,S7-FanFdbck,S7,,Fan VFD Speed Feedback,Hz,50.1
Rudin345Park\\BCX9thModbus,S8_FanFdbck,BCX9thModbus,,S8-FanFdbck,S8,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX9thModbus,S9_FanFdbck,BCX9thModbus,,S9-FanFdbck,S9,,Fan VFD Speed Feedback,Hz,60
Rudin345Park\\BCX34th\\SESecondaryWater,SESupplyStptCalc,BCX34th,SESecondaryWater,SupplyWaterTempStpt,34SE2WS,,SE Secondary Water Supply Stpt 34th Floor,Fahrenheit,56
Rudin345Park\\BCX9th\\SESecWater9th,SESupplyStptCalc,BCX9th,SESecWater9th,SupplyWaterTempStpt,9SE2WS,,SE Secondary Water Supply Stpt 9th Floor,Fahrenheit,56
Rudin345Park\\BCXCellar\\SteamStation,Steam.Momentary,BCXCellar,SteamStation,TotalInstant,Steam,Steam Demand,Steam Total Momentary Demand ,Mlbs per hour,55.2
Rudin345Park\\BCXCellar\\SteamStation,SteamTempHiBoth,BCXCellar,SteamStation,HighTempAlarm,Steam,Steam Demand,High Temp Alarm Steam Room C Level,None,Off
Rudin345Park\\BCXCellar\\SteamStation,StmHi.Momentary,BCXCellar,SteamStation,HiInstant,Steam,Steam Demand,Steam High Pressure Momentary Demand ,Mlbs per hour,0
Rudin345Park\\BCXCellar\\SteamStation,StmLow.Momentary,BCXCellar,SteamStation,LowInstant,Steam,Steam Demand,Steam Low Pressure Momentary Demand ,Mlbs per hour,20.4
Rudin345Park\\BCXCellar\\SteamStation,StmMed.Momentary,BCXCellar,SteamStation,MedInstant,Steam,Steam Demand,Steam Medium Pressure Momentary Demand ,Mlbs per hour,34.8
Rudin345Park\\BCX34th\\TenantCT1,TCT1.HighTemp,BCX34th,TenantCT1,TowerHighTempAlarm,TCT1,Tenant Cooling Tower 1,Tennant Cooling Tower 1 High CW Temp Alarm,None,Off
Rudin345Park\\BCX34th\\TenantCT2,TCT2.HighTemp,BCX34th,TenantCT2,TowerHighTempAlarm,TCT2,Tenant Cooling Tower 2,Tennant Cooling Tower 2 High CW Temp Alarm,None,Off
Rudin345Park\\BCXCellar\\ElectricMeters,Total.Demand,BCXCellar,ElectricMeters,Total,Elec,Electricity Demand,Total Electric Demand,KW,6356
Rudin345Park\\BCXCellar\\InteriorFanS_13,Water.TodayCF,BCXCellar,InteriorFanS_13,TodayCFA,Water,Building Water,Watre Used Today A Level ,Cubic Feet,5868
Rudin345Park\\BCXCellar\\A_LevelMisc,Water.TodayCF,BCXCellar,A_LevelMisc,TodayCFC,Water,Building Water,Watre Used Today C Level ,Cubic Feet,12762
Rudin345Park\\BCXCellar\\A_LevelMisc,Water.TodayG,BCXCellar,A_LevelMisc,LevelAToday,Water,Building Water,Watre Used Today A Level ,Gallons,95481.4
Rudin345Park\\BCXCellar\\InteriorFanS_13,Water.TodayG,BCXCellar,InteriorFanS_13,LevelCToday,Water,Building Water,Watre Used Today C Level ,Gallons,43902.9
