,nightTemp,mornTemp2,peak,superPeak,superIdx,preheatPeak,totalUsage,nightUsage,pumpTime,conEdPeak,conEdIdx,valid_days,winter_season,predUsage,predPeak,predSuper
3/13/11,50.82727273,47.725,8.36,5.54,7.75,5.58,107.4225,5.225625,23.75,5.46,6.75,FALSE,0,250.7565372,24.14016297,8.54792966
3/14/11,42.52307692,39.175,20.34,20.34,6.25,19.43,237.4525,7.5755,6,18.52,6.5,TRUE,0,262.2411514,30.99508733,31.24095814
3/15/11,39.325,35.8,25.19,19.13,7,25.19,250.1525,2.5155,4.5,18.635,7.25,TRUE,0,272.8364671,25.10461486,20.56616712
3/24/11,33.14230769,30.6,21.65,21.65,6.5,15.6,287.8175,5.544,6.25,20.955,6.5,TRUE,0,320.4352891,23.72575861,22.23744678
3/25/11,36.33333333,29.45,20.6,20.6,7.75,14.67,268.9225,6.956,6.5,20.48,7.75,TRUE,,276.589804,20.38724101,20.28670484
3/26/11,31.975,26.8,22.95,22.95,9,4.74,218.43,4.0835,6.25,20.465,9,FALSE,,306.351953,26.36406379,23.55883718
3/27/11,32.075,28.225,8.51,4.84,9,4.55,124.14,4.1365,1,4.755,9.25,FALSE,,408.2815271,21.59059583,16.64917921
3/28/11,33.65833333,27.25,24.33,20.92,6.5,24.33,266.9975,7.725,5.25,20.61,6.5,TRUE,,344.8017462,27.43020269,24.01934034
3/29/11,37.225,32.275,19.2,19.2,6.75,18.69,265.845,5.888,6.5,18.515,8.25,TRUE,,281.4825366,23.08650446,22.3601135
3/30/11,40.825,38.5,22.59,18.38,6.75,22.59,231.34,3.4235,4.75,16.88,6.75,TRUE,,205.1248999,21.83632548,20.19497494
3/31/11,43.625,40.24,33.44,23.47,6.75,33.44,293.825,4.6825,4.75,22.12,7,TRUE,,242.3381858,28.86269685,20.37245679
4/1/11,37.26875,36.32,21.22,18.67,6.75,12.62,286.235,5.367,6.5,17.135,7,TRUE,,286.4590015,18.914005,19.211223
4/2/11,42.52666667,39.225,16.57,14.95,8.25,4.01,176.0375,3.9905,0,14.9,8.5,FALSE,,193.5805567,20.81065125,11.6559385
4/3/11,48.15833333,43.5,7.09,3.9,9.5,3.86,95.94,3.653,0.25,3.865,9.5,FALSE,,211.3086982,25.10905028,14.96645606
4/4/11,50.25833333,46.45,21.19,17.26,10,21.19,201.695,3.603,5,17.12,10,TRUE,,235.4101516,21.31480466,18.76039925
4/5/11,57.875,59.03333333,20.24,4.08,9.5,18.95,126.2475,2.367,4.75,3.985,9.75,TRUE,,157.1640232,20.62645201,16.19918198
4/6/11,42.325,39.175,13.49,13.16,6.75,13.49,196.5175,4.1475,5.5,12.94,7,TRUE,,206.7273497,19.45901058,18.89778871
4/7/11,43.6,42.61,13.49,13.16,6.75,13.49,200.5225,4.1475,5.5,12.94,7,TRUE,,211.3968685,23.77594893,20.54599257
4/8/11,46.33333333,44.775,21.15,17.48,8.25,10.09,231.635,5.3475,3.25,16.37,8.5,TRUE,,234.5747576,20.9489,17.730037
4/9/11,42.90625,41.33333333,17.22,17.22,8.75,2.96,177.0375,2.9295,0,17.045,9,FALSE,,199.9635201,20.99448403,11.00354157
4/10/11,47.65,48.725,10.94,2.6,10.75,2.32,83.8325,2.3195,23.75,2.53,10.75,FALSE,,349.733981,26.74102491,18.22771876
4/11/11,51.41875,55.75,32.12,17.39,7,31.59,161.6775,2.396,5.25,14.715,7.25,TRUE,,121.2420245,16.3796293,14.89036705
4/12/11,70.33333333,62.025,30.39,5.87,8.75,3.03,221.645,2.2765,6.25,5.665,9,TRUE,,445.7383083,31.00922126,29.08004324
4/13/11,46.86538462,43.22857143,26.02,23.01,6.75,26.02,245.515,2.6535,5.5,21.65,7,TRUE,,230.9820638,28.68484476,19.57615686
4/14/11,48.84285714,50.225,16.33,16.33,6.25,13.09,154.865,2.6015,6,13.59,6.5,TRUE,,153.8283408,18.91703932,17.99303026
4/15/11,58.15833333,47.45,14.48,12.52,8.5,14.48,124.8725,2.0615,5.25,11.845,8.75,TRUE,,177.8353404,21.62398179,16.31223293
4/16/11,42.79230769,41.55,18.99,18.99,10.5,2.78,140.7925,2.855,0.25,16.555,10.5,FALSE,,190.8861437,21.57835429,11.81370392
4/17/11,52.96666667,53.275,2.9,2.22,8.75,2.17,55.515,2.2495,23.75,2.195,8.75,FALSE,,213.5255888,23.92320801,9.39195835
4/18/11,53.49166667,49.275,20.15,20.15,6.75,20.14,137.2525,2.104,6.5,18.85,7,TRUE,,133.3132241,23.19623591,13.53350977
4/19/11,51.18181818,50.55,14.17,13.1,7,11.93,152.98,2.2175,6.5,12.6,7,TRUE,,154.7822144,16.17393879,12.79820449
4/20/11,48.55294118,44.97142857,26.73,22.43,6.75,26.73,205.895,2.5645,5.5,20.975,7,TRUE,,217.8482681,25.83526502,22.88683497
4/21/11,58.41666667,51.325,13.72,13.72,9.25,2.14,131.5425,2.187,6.5,13.55,9.25,TRUE,,245.5435919,34.6194461,25.43166479
4/22/11,45.85,42.225,16.22,16.22,7,16.14,190.6725,2.5945,5.5,15.985,7.25,TRUE,,208.0884182,24.36156076,17.04438573
4/23/11,44.45384615,47.07,24.49,24.49,8.5,2.41,174.7975,2.3955,0.25,19.315,10.75,FALSE,,214.2386122,20.87567152,12.30602807
4/24/11,58.5,62.7,2.31,2.22,10.75,2.26,51.1025,2.1635,4.75,2.21,10.75,FALSE,,215.4364248,20.87138663,18.20947901
4/25/11,63.63030303,59.11538462,39.32,35.34,6.75,2.02,329.1975,1.953,6.5,31.675,10.5,TRUE,,518.5145993,43.3253259,41.43700127
4/26/11,57.635,56.8,50.59,39.1,9.5,2.12,541.615,2.3415,6.5,38.54,9.75,TRUE,,107.0296874,38.1232346,2.42926626
4/27/11,66.65,65.11428571,42.7,42.31,10.25,2.05,552.845,2.105,6.5,42.235,10.25,TRUE,,520.5306852,43.5903673,42.9548622
4/28/11,62.61666667,61.95555556,41.49,36.62,10.75,2.19,525.875,2.158,6.5,36.545,10.75,TRUE,,518.0200877,43.24188694,41.02834641
4/29/11,66.325,59.5,40.89,34.53,9.25,1.97,587.18,2.853,6.5,34.48,9.25,TRUE,,520.302449,43.56091826,42.83810367
4/30/11,56.35,50.825,35.91,3.71,8.5,2.12,177.1375,2.0405,2.5,3.46,8.5,FALSE,,185.643982,17.85589001,9.99022428
5/1/11,57.98333333,54.5,2.04,1.98,6.75,1.87,44.9825,1.8335,6.5,1.98,7,FALSE,,184.9494975,34.02243523,13.5771312
5/2/11,52.36666667,52.55,12.99,12.99,8,2.05,84.9775,1.905,6.5,12.76,8,TRUE,,328.9377521,33.10399101,31.28896519
5/3/11,56.8,56.95,29.55,2.35,9.75,1.98,109.5575,1.9785,1,2.325,10,TRUE,,183.9741729,18.76384429,8.64020583
5/4/11,63.16666667,56.94,32.74,32.74,8.5,1.88,284.6125,1.9565,6.5,31.93,8.5,TRUE,,518.2863632,43.27624416,41.26186348
5/5/11,48.35625,49.725,13.52,13.52,6.75,2.03,123.33,3.6065,6.5,12.14,7,TRUE,,138.00995,15.91345458,16.831694
5/6/11,56.19166667,54.225,9.53,9.53,7.25,1.99,61.0575,1.98,1.5,7.63,7.5,TRUE,,238.5711198,17.78046186,8.41215202
5/7/11,60.56666667,57.225,2.44,2.25,8.75,1.88,47.8275,1.8605,23.75,2.25,9,FALSE,,218.7450155,33.80855811,16.38407062
5/8/11,58.50833333,55.55,3.81,1.9,7,1.83,44.3225,2.095,2.5,1.86,7.25,FALSE,,183.0341539,13.19543439,8.92571386
5/9/11,61.4,55.95,23.3,6.08,9.5,2,111.1,2.1105,1,5.255,9.75,TRUE,,316.6146424,19.6451301,14.80986728
5/10/11,60.90833333,56.525,30.01,3.87,7.75,1.8,147.7375,1.8115,0.5,3.785,8,TRUE,,314.3764748,17.98176121,13.60345785
5/11/11,55.825,55.475,34.19,11.01,7.5,1.83,145.2875,1.883,2.25,9.465,7.75,TRUE,,147.2271471,9.2905371,7.48733073
5/12/11,59.95833333,58.225,35.78,3.21,8.25,1.82,181.42,1.782,0.75,3.18,8.5,TRUE,,142.2553012,10.20398252,5.69319427
5/13/11,54.35833333,55.975,23.02,5.23,7.25,1.95,115.44,1.89,2.25,4.815,7.5,TRUE,,104.4192443,10.43892113,9.06022587
5/14/11,58.59166667,59.78333333,4.06,4.06,8.75,2.13,56.97,2.0815,4.25,3.89,9,FALSE,,199.350252,20.91055411,16.7716843
5/15/11,59.22083333,58.8,1.92,1.91,9,1.84,41.93,1.737,4.25,1.9,9.25,FALSE,,145.338584,17.12559944,12.12806186
5/16/11,62.36896552,58.225,30.54,30.54,7.75,1.74,123.915,1.727,0.75,29.85,8,TRUE,,346.6817128,21.81578064,16.833113
5/18/11,55.52352941,56.425,17.89,17.89,7,1.91,87.1975,1.854,6.5,17.085,7.25,TRUE,,192.3089099,30.859104,29.593148
5/19/11,60.42702703,61.73,37.75,34.69,10.5,1.78,239.1975,1.7555,6.5,34.495,10.75,TRUE,,392.174925,29.88640576,32.01882391
5/20/11,60.74761905,59.97272727,38.51,30.45,10.75,2.06,415.435,2.0705,6.5,30.225,10.75,TRUE,,466.9738653,39.2977633,37.68199319
5/23/11,55.13333333,58.5,13.25,13.25,6.75,1.94,64.1025,1.823,6.5,10.45,6.75,TRUE,,156.2359884,29.45258145,27.41189197
5/24/11,64.93157895,69.31428571,38.88,38.88,10.25,1.75,341.7575,1.61,6,38.825,10.5,TRUE,,501.4240519,39.52696129,35.1476176
5/25/11,73.84166667,67.725,40.58,38.79,9,1.63,505.7125,1.5965,6.5,38.735,9.25,TRUE,,458.2935192,34.80309296,32.617836
5/26/11,69.25,66.225,39.9,36.26,7.5,1.8,489.33,1.5545,6.5,36.19,7.5,TRUE,,458.2935192,34.80309296,32.617836
5/27/11,68.30588235,67.35,41.07,39.41,8,1.93,514.7075,1.781,6.5,39.225,8.25,TRUE,,458.2935192,34.80309296,32.617836
5/28/11,73.05,70.025,41.96,37.28,9.25,1.6,368.715,1.54,0.5,37.05,9.5,FALSE,,400.5623573,25.89281637,20.73042819
5/29/11,71.26666667,69.78333333,1.63,1.52,9.25,1.36,33.235,1.387,2.75,1.495,9.5,FALSE,,398.2876219,26.91392374,22.88835277
5/30/11,75.96666667,71.26666667,1.65,1.55,7,1.58,32.8975,1.311,4.75,1.51,8.25,TRUE,,429.0173513,28.86934431,25.60114726
5/31/11,80.23333333,75.225,89.87,59.33,7,38.21,608.3925,4.755,5.25,57.56,8.5,TRUE,,429.0173513,29.86611829,25.80931127
6/1/11,71.94166667,72.5,67.71,64.68,9.5,1.94,779.605,1.461,6.5,60.97,9.75,TRUE,,458.2935192,34.80309296,32.617836
6/2/11,81.71666667,71.275,67.24,35.77,9.25,1.64,599.395,1.4485,6.5,35.735,9.25,TRUE,,458.2935192,34.80309296,32.617836
6/3/11,64.25833333,58.5,34.86,3.52,10.25,1.77,186.575,1.4505,6.5,3.42,8.25,TRUE,,518.9330322,43.36949947,41.55375981
6/4/11,65.68333333,60.775,2.02,1.96,10.75,1.65,39.875,1.5715,3,1.94,10.75,FALSE,,413.3952819,29.63325458,26.1638292
6/5/11,63.19166667,59.18,1.58,1.45,6,1.15,31.7,1.377,1,1.435,6.25,FALSE,,363.3971527,22.65719616,18.29482922
6/6/11,62.60833333,65.525,35.47,34.09,6.75,1.55,323.725,1.22,6.5,33.985,7,TRUE,,518.0200877,43.24188694,41.02834641
6/7/11,71.95833333,69.475,37.72,35.33,7.5,1.39,474.9775,1.23,6.5,35.305,7.5,TRUE,,458.2935192,34.80309296,32.617836
6/8/11,79.65833333,75.225,65.08,57.1,10.75,32.8,724.68,1.168,6.5,56.295,10.75,TRUE,,458.2935192,34.80309296,32.617836
6/9/11,85.83333333,79.725,69.12,68.42,6.75,52.95,923.1925,1.139,6.5,68.36,6.75,TRUE,,458.2935192,34.80309296,32.617836
6/10/11,73.81538462,72.275,70.84,38.9,8,2,634.295,1.212,6.5,38.515,8.25,TRUE,,458.2935192,34.80309296,32.617836
6/11/11,71.42941176,65.725,38.94,36.87,9.75,1.43,414.9175,1.1725,5.5,36.615,9.75,FALSE,,429.0173513,30.09795488,26.21877136
6/12/11,60.3,59,28.3,28.3,7.25,1.49,261.91,1.267,6.5,28.245,7.5,FALSE,,370.0524819,26.86311147,29.6150112
6/13/11,64.72413793,60.81111111,44.62,44.62,9.25,1.32,403.1075,1.197,6.5,43.49,9.25,TRUE,,519.2373471,43.38913217,41.84565614
6/14/11,64.51666667,62.9,37.36,29.32,10.75,1.35,324.52,1.176,6.5,22.335,10.75,TRUE,,519.123229,43.37931582,41.75808724
6/15/11,60.34444444,60.7,40.61,30.26,10.75,1.4,400.815,1.248,6.5,29.565,10.75,TRUE,,376.7543892,27.54696629,30.63026223
6/16/11,70.68333333,67.025,42.03,42.03,10.25,1.49,522.77,1.148,6.5,41.75,10.25,TRUE,,458.2935192,34.80309296,32.617836
6/17/11,67.95263158,66.98888889,40.98,40.98,9.25,1.52,514.05,1.2445,6.5,40.83,8.75,TRUE,,465.1730821,35.50764552,33.56393076
6/18/11,64.69,65.81111111,54.95,41.66,10.5,1.42,389.385,1.2865,3,41.32,10.5,FALSE,,400.7755397,27.76033427,24.62646589
6/19/11,75.25,71.8,1.44,1.39,8.75,1.28,28.6,1.2565,2,1.36,9,FALSE,,399.8946989,26.23773689,21.49027203
6/20/11,71.61666667,68,58.81,58.81,7.25,39.74,389.89,1.099,5.25,47.365,7.5,TRUE,,429.0173513,29.86611829,25.80931127
6/21/11,72.11666667,72,37.58,37.58,7,1.18,511.91,1.0925,6.5,37.53,7.25,TRUE,,458.2935192,34.80309296,32.617836
6/22/11,75.58333333,73.725,39.3,38.57,10.5,1.4,519.26,1.126,6.5,38.235,10.75,TRUE,,458.2935192,34.80309296,32.617836
6/23/11,72.10909091,69.79230769,42.6,42.6,8,1.39,540.32,1.1315,6.5,42.225,8.25,TRUE,,458.2935192,34.80309296,32.617836
6/24/11,66.63529412,66.12,38.27,37.67,9,1.42,508.74,1.251,6.25,37.57,9,TRUE,,505.473815,37.66818242,36.34332525
6/25/11,66.2826087,65.67,45.86,37.49,9,1.47,333.395,1.2355,5,36.32,9.25,FALSE,,471.75797,34.41502083,31.0403507
6/26/11,72.9,68.225,1.38,1.36,9,1.15,27.085,1.13,1.75,1.36,9.25,FALSE,,398.4516307,26.20928436,21.21032957
6/27/11,71.58333333,69.8,39.87,39.87,6.25,2.47,386.98,1.111,6,39.72,6.5,TRUE,,449.1532178,33.42017855,31.34921926
6/28/11,74.45,74.98,39.74,39.74,8.25,1.71,528.2875,1.267,6.5,39.475,8.5,TRUE,,458.2935192,34.80309296,32.617836
6/29/11,74.92,71.025,39.36,37.4,8.25,1.44,537.7925,0.981,6.5,37.37,8.25,TRUE,,458.2935192,34.80309296,32.617836
