,start,end,busday
2012-05-01,6.683333333333334,6.9,True
2012-05-02,6.65,6.883333333333333,True
2012-05-03,6.716666666666667,6.833333333333333,True
2012-05-04,6.666666666666667,6.85,True
2012-05-05,8.0,8.066666666666666,False
2012-05-07,6.4,6.9,True
2012-05-08,6.683333333333334,6.833333333333333,True
2012-05-09,6.733333333333333,6.966666666666667,True
2012-05-10,6.616666666666667,6.75,True
2012-05-11,6.683333333333334,6.85,True
2012-05-12,7.083333333333333,16.383333333333333,False
2012-05-14,6.283333333333333,6.483333333333333,True
2012-05-15,6.733333333333333,6.866666666666667,True
2012-05-17,6.6,6.766666666666667,True
2012-05-18,6.633333333333333,6.783333333333333,True
2012-05-19,6.95,15.616666666666667,False
2012-05-20,8.0,8.116666666666667,False
2012-05-21,6.883333333333333,6.95,True
