,nightTemp,peak,superPeak,totalUsage,pumpTime,valid_days,season
582,51.715789469999997,18.588581090000002,18.588581090000002,164.34745800000002,6.0,True,
583,33.524999999999999,24.98779678,24.819774630000001,334.17993189999999,5.5,True,2.0
584,46.778947369999997,24.249300000000002,24.249300000000002,295.93068499999998,6.0,True,3.0
585,42.068750000000001,23.959608079999999,23.959608079999999,258.68848680000002,6.25,True,2.0
586,37.289999999999999,28.6508,28.6508,263.0098375,5.5,True,3.0
587,38.012500000000003,21.534366609999999,21.534366609999999,279.11681200000004,5.25,True,1.0
588,43.068965519999999,15.405951500000002,15.405951500000002,232.83980669999997,5.5,True,1.0
589,40.081249999999997,33.94895554,17.759437559999999,243.10184449999997,5.25,True,2.0
590,27.857894739999999,26.109277729999999,26.109277729999999,286.7012709,6.5,True,1.0
591,49.806249999999999,13.188185689999999,13.188185689999999,161.8640326,6.0,True,1.0
592,59.095454549999999,24.16252708,24.16252708,249.80365309999999,6.5,True,
593,29.225000000000001,25.722669600000003,25.57943916,359.04767700000002,5.25,True,2.0
594,37.265000000000001,18.670000000000002,18.670000000000002,286.23500000000001,6.5,True,
595,47.841176470000001,26.28825951,18.145391459999999,274.67096949999996,5.25,True,1.0
596,50.335533399999996,30.308948520000001,13.17002201,184.44732740000001,6.5,True,
597,42.174999999999997,24.297063829999999,24.297063829999999,260.50752249999999,6.5,True,2.0
598,35.950000000000003,20.212909699999997,19.86688423,221.25054959999997,5.25,True,1.0
599,42.115789470000003,26.041,26.041,259.27736749999997,4.0,True,3.0
600,43.177272729999999,17.830696110000002,17.830696110000002,221.98979939999998,6.5,True,
601,39.288888890000003,29.317799999999998,27.9955,304.57371499999999,5.5,True,3.0
602,38.668750000000003,26.89275932,26.254734039999999,293.38457850000003,4.0,True,2.0
603,40.744,20.22600937,20.22600937,243.80202450000002,6.0,True,2.0
604,47.32833333,34.534500000000001,25.031300000000002,327.91982000000002,5.5,True,3.0
605,41.33235294,21.891677860000001,10.901957510000001,210.47893569999999,5.25,True,1.0
606,41.73251613,23.209299999999999,22.436399999999999,269.94870499999996,5.5,True,3.0
607,38.612499999999997,17.09,17.09,229.38749999999999,4.75,True,1.0
608,53.786666670000002,14.25,8.9900000000000002,107.4025,6.0,True,
609,29.04827586,24.579999999999998,22.75,329.58749999999998,5.25,True,0.0
610,46.924999999999997,25.059999999999999,13.390000000000001,156.17250000000001,5.25,True,0.0
611,35.118749999999999,35.485275270000002,20.326015470000002,280.23895149999998,5.25,True,
612,35.53125,31.911449430000001,31.911449430000001,279.6663643,3.25,True,
