custID2	custName2	Textbox11	Textbox14	Group1	Textbox37	Textbox38	meternum	datetimeread	kwh	kw
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:15 AM	51	206
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:30 AM	50	202
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:45 AM	48	196
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:00 AM	51	198
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:15 AM	50	202
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:30 AM	49	198
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:45 AM	51	200
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:00 AM	49	200
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:15 AM	48	194
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:30 AM	50	196
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:45 AM	49	198
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:00 AM	51	200
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:15 AM	50	202
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:30 AM	53	206
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:45 AM	51	208
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:00 AM	53	208
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:15 AM	52	210
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:30 AM	53	210
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:45 AM	60	226
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:00 AM	62	244
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:15 AM	63	250
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:30 AM	69	264
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:45 AM	70	278
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:00 AM	69	278
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:15 AM	68	274
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:30 AM	68	272
