"on_for","today_on_time","totalmw","today_kwh","-","today_standby_time","name","current_power","device","total_mw"
"15175","57631","634141337","1.3888296611099","-","57631","2015-06-11 17:40:01","96210","refrigerator",""
"8608","51062","","1.2263259411932","-","51062","2015-06-09 15:14:01","94640","",""
"17276","59731","637202126","1.4398428121302","-","59732","2015-06-11 18:15:01","94705","refrigerator",""
"14750","32503","827748144","0.78178391563568","-","32503","2015-06-13 09:33:02","93430","refrigerator",""
"2932","20684","694852190","0.50384087674348","-","20684","2015-06-12 06:16:02","97720","refrigerator",""
"1831","44284","","1.0655197379771","-","44284","2015-06-10 13:21:02","97415","",""
"22888","11523","","0.27686468887063","-","11523","2015-06-10 03:12:01","94895","",""
"11193","26735","","0.64453559622404","-","26735","2015-06-10 07:57:01","94010","",""
"23909","66363","","1.5892271984512","-","66363","2015-06-09 19:29:01","95075","",""
"13314","4149","670565501","0.099062718647921","-","4149","2015-06-12 01:09:01","96560","refrigerator",""
"4370","75952","774152841","1.8255184198437","-","75952","2015-06-12 22:40:02","96805","refrigerator",""
"6213","21755","","0.52662054386574","-","21755","2015-06-10 06:34:01","95795","",""
"12648","55101","","1.3245036931567","-","55101","2015-06-10 16:21:18","93420","",""
"19589","62043","","1.4865876963984","-","62043","2015-06-09 18:17:01","94925","",""
"22253","13096","799646637","0.31342545626851","-","13096","2015-06-13 03:38:03","96005","refrigerator",""
"2433","17975","","0.43505037536767","-","17975","2015-06-10 05:31:02","97025","",""
"7191","78773","778200233","1.8929749545262","-","78773","2015-06-12 23:27:02","96445","refrigerator",""
"19551","10394","795725803","0.24807822162823","-","10394","2015-06-13 02:53:01","96285","refrigerator",""
"16194","7029","674798507","0.16961282005892","-","7029","2015-06-12 01:57:01","96065","refrigerator",""
"1283","4781","","0.12851466923696","-","4781","2015-06-08 13:12:01","104640","",""
"8008","11506","","0.29800715596014","-","11506","2015-06-08 15:04:05","98715","",""
"26917","17752","690355283","0.42889242524451","-","17752","2015-06-12 05:05:02","180","refrigerator",""
"14575","5410","672392240","0.12950836925683","-","5410","2015-06-12 01:30:02","96470","refrigerator",""
"25012","69685","764785343","1.6693934500545","-","69685","2015-06-12 20:24:02","94280","refrigerator",""
"15928","4563","","0.10984628553026","-","4563","2015-06-10 01:16:02","95605","",""
"16791","7634","791802604","0.1826915703205","-","7634","2015-06-13 02:07:02","95545","refrigerator",""
"1403","4901","","0.13199283597319","-","4901","2015-06-08 13:14:01","104275","",""
"8516","50971","","1.2295886745918","-","50972","2015-06-11 15:49:02","95635","refrigerator",""
"21388","63842","","1.5292145305843","-","63842","2015-06-09 18:47:01","94535","",""
"19474","35016","","0.84070313348073","-","35016","2015-06-10 10:15:01","93930","",""
"20871","38624","836389889","0.92581300184959","-","38624","2015-06-13 11:15:02","94880","refrigerator",""
"20614","36157","","0.86823576736471","-","36157","2015-06-11 10:34:01","93820","refrigerator",""
"26912","69368","651101675","1.6715019667634","-","69368","2015-06-11 21:16:01","205","refrigerator",""
"24355","415","","0.011171216890091","-","415","2015-06-05 18:07:01","95160","",""
"26911","69365","","1.6616754332335","-","69365","2015-06-09 20:41:01","180","",""
"8276","50732","","1.223265841132","-","50732","2015-06-11 15:45:02","94475","refrigerator",""
"18172","60628","638435049","1.4603915292078","-","60628","2015-06-11 18:30:01","95130","refrigerator",""
"5007","74372","","1.7859052523848","-","74372","2015-06-09 22:14:01","95940","",""
